Role_ID,Job_Role,Domain,Required_Skills
1,Software Developer,CSE_IT,"Python,Java,Data Structures,Git,OOP,SQL"
2,Full Stack Developer,CSE_IT,"HTML,CSS,JavaScript,React,Node.js,MongoDB,REST APIs,Git"
3,Frontend Developer,CSE_IT,"HTML,CSS,JavaScript,React,UI Design,Git"
4,Backend Developer,CSE_IT,"Python,Django,Flask,SQL,REST APIs,Linux"
5,AI Engineer,CSE_IT,"Python,Machine Learning,Deep Learning,TensorFlow,NLP,PyTorch"
6,ML Engineer,CSE_IT,"Python,Scikit-learn,Machine Learning,MLOps,Pandas,Statistics"
7,Data Analyst,CSE_IT,"Excel,SQL,Power BI,Tableau,Statistics,Python"
8,Data Scientist,CSE_IT,"Python,Machine Learning,Statistics,SQL,Pandas,Deep Learning"
9,Cloud Engineer,CSE_IT,"AWS,Azure,Linux,Docker,Kubernetes,Terraform"
10,DevOps Engineer,CSE_IT,"Linux,Docker,Kubernetes,CI/CD,Jenkins,AWS"
11,Cybersecurity Analyst,CSE_IT,"Networking,Linux,SIEM,Ethical Hacking,Python,Firewall"
12,Database Engineer,CSE_IT,"SQL,MySQL,PostgreSQL,Database Design,Performance Tuning"
13,QA Engineer,CSE_IT,"Testing,Selenium,Java,Bug Tracking,Automation Testing"
14,Mobile App Developer,CSE_IT,"Java,Kotlin,Android,Firebase,APIs"
15,UI UX Developer,CSE_IT,"Figma,Wireframing,Prototyping,User Research,Adobe XD"
16,VLSI Engineer,Electronics,"Verilog,VHDL,RTL Design,ASIC Design,FPGA,CMOS Design,Cadence,Synopsys"
17,Embedded Engineer,Electronics,"Embedded C,Microcontrollers,ARM,RTOS,SPI,I2C,UART"
18,IoT Engineer,Electronics,"Arduino,Raspberry Pi,Sensors,MQTT,IoT Cloud,WiFi"
19,PCB Design Engineer,Electronics,"PCB Design,Altium,KiCad,Schematic Design,Signal Integrity"
20,Firmware Engineer,Electronics,"Embedded C,Firmware Debugging,Microcontrollers,UART,SPI"
21,FPGA Engineer,Electronics,"Verilog,FPGA,VHDL,Timing Analysis"
22,ASIC Verification Engineer,Electronics,"SystemVerilog,UVM,Verification,RTL Design"
23,Telecom Engineer,Electronics,"LTE,5G,RF Basics,Networking"
24,RF Engineer,Electronics,"RF Design,Microwave,Antenna Design,MATLAB"
25,Automation Engineer,Electronics,"PLC,SCADA,Sensors,Control Systems"
26,Instrumentation Engineer,Electronics,"Instrumentation,PLC,SCADA,Calibration"
27,Hardware Design Engineer,Electronics,"Circuit Design,PCB Design,Testing,Components"
28,Power Systems Engineer,Electrical,"Power Systems,ETAP,Protection Systems,SCADA,MATLAB"
29,Control Engineer,Electrical,"PLC,SCADA,MATLAB,Control Systems,Instrumentation"
30,Electrical Design Engineer,Electrical,"AutoCAD Electrical,Wiring Design,Load Calculation"
31,Maintenance Engineer,Electrical,"Electrical Machines,Troubleshooting,Safety Standards"
32,Substation Engineer,Electrical,"Switchgear,Protection Systems,Substation Design"
33,Renewable Energy Engineer,Electrical,"Solar Design,Wind Energy,Power Electronics"
34,Protection Engineer,Electrical,"Relay Coordination,Protection Systems,ETAP"
35,PLC Engineer,Electrical,"PLC,HMI,SCADA,Automation"
36,SCADA Engineer,Electrical,"SCADA,Networking,Control Systems"
37,Design Engineer,Mechanical,"AutoCAD,SolidWorks,CATIA,GD&T,Engineering Drawing"
38,CAD Engineer,Mechanical,"AutoCAD,CATIA,SolidWorks,3D Modeling"
39,Production Engineer,Mechanical,"Lean Manufacturing,Six Sigma,Process Planning,SAP"
40,Maintenance Engineer,Mechanical,"Hydraulics,Pneumatics,PLC,Maintenance"
41,Quality Engineer,Mechanical,"Quality Control,Six Sigma,Root Cause Analysis"
42,Manufacturing Engineer,Mechanical,"CNC Programming,Production Planning,Lean Manufacturing"
43,HVAC Engineer,Mechanical,"HVAC,Load Calculation,Revit MEP"
44,Automobile Engineer,Mechanical,"Automotive Systems,CAD,Vehicle Dynamics"
45,Robotics Engineer,Mechanical,"Robotics,PLC,Sensors,Python"
46,CNC Engineer,Mechanical,"CNC Programming,G Code,Machine Setup"
47,Site Engineer,Civil,"AutoCAD,Estimation,Surveying,Primavera,BOQ"
48,Structural Engineer,Civil,"STAAD Pro,ETABS,Structural Design,Revit"
49,BIM Engineer,Civil,"Revit,BIM,Navisworks,Clash Detection"
50,Planning Engineer,Civil,"Primavera,Project Planning,MS Project"
51,Quantity Surveyor,Civil,"BOQ,Estimation,Contracts"
52,Project Engineer,Civil,"Project Planning,Site Management,AutoCAD"
53,Highway Engineer,Civil,"Road Design,Surveying,IRC Standards"
54,Geotechnical Engineer,Civil,"Soil Mechanics,Foundation Design,Lab Testing"
55,Water Resource Engineer,Civil,"Hydrology,WaterCAD,Irrigation Design"
